illumination,Date,Text1
40.55% Visible,Moon phase details at 19 December 2011,"364,696.06 km"
29.57% Visible,Moon phase details at 20 December 2011,"363,474.75 km"
19.54% Visible,Moon phase details at 21 December 2011,"363,419.53 km"
11.08% Visible,Moon phase details at 22 December 2011,"364,545.71 km"
4.78% Visible,Moon phase details at 23 December 2011,"366,794.54 km"
1.03% Visible,Moon phase details at 24 December 2011,"370,035.37 km"
0.02% Visible,Moon phase details at 25 December 2011,"374,073.87 km"
1.67% Visible,Moon phase details at 26 December 2011,"378,666.52 km"
5.69% Visible,Moon phase details at 27 December 2011,"383,540.18 km"
11.66% Visible,Moon phase details at 28 December 2011,"388,414.36 km"
19.12% Visible,Moon phase details at 29 December 2011,"393,023.06 km"
27.62% Visible,Moon phase details at 30 December 2011,"397,132.58 km"
36.77% Visible,Moon phase details at 31 December 2011,"400,552.91 km"
46.22% Visible,Moon phase details at 1 January 2012,"403,142.10 km"
55.68% Visible,Moon phase details at 2 January 2012,"404,804.80 km"
64.89% Visible,Moon phase details at 3 January 2012,"405,487.59 km"
73.58% Visible,Moon phase details at 4 January 2012,"405,173.96 km"
81.5% Visible,Moon phase details at 5 January 2012,"403,881.19 km"
88.37% Visible,Moon phase details at 6 January 2012,"401,660.09 km"
93.9% Visible,Moon phase details at 7 January 2012,"398,597.15 km"
97.8% Visible,Moon phase details at 8 January 2012,"394,817.53 km"
99.79% Visible,Moon phase details at 9 January 2012,"390,486.51 km"
99.65% Visible,Moon phase details at 10 January 2012,"385,807.37 km"
97.24% Visible,Moon phase details at 11 January 2012,"381,014.35 km"
92.56% Visible,Moon phase details at 12 January 2012,"376,360.58 km"
85.73% Visible,Moon phase details at 13 January 2012,"372,102.26 km"
77.06% Visible,Moon phase details at 14 January 2012,"368,481.12 km"
66.94% Visible,Moon phase details at 15 January 2012,"365,707.29 km"
55.9% Visible,Moon phase details at 16 January 2012,"363,944.63 km"
44.51% Visible,Moon phase details at 17 January 2012,"363,299.33 km"
33.35% Visible,Moon phase details at 18 January 2012,"363,812.61 km"
23.05% Visible,Moon phase details at 19 January 2012,"365,457.47 km"
14.17% Visible,Moon phase details at 20 January 2012,"368,139.75 km"
7.2% Visible,Moon phase details at 21 January 2012,"371,703.62 km"
2.49% Visible,Moon phase details at 22 January 2012,"375,941.83 km"
0.22% Visible,Moon phase details at 23 January 2012,"380,610.31 km"
0.39% Visible,Moon phase details at 24 January 2012,"385,446.03 km"
2.81% Visible,Moon phase details at 25 January 2012,"390,186.27 km"
7.22% Visible,Moon phase details at 26 January 2012,"394,586.37 km"
13.26% Visible,Moon phase details at 27 January 2012,"398,433.76 km"
20.6% Visible,Moon phase details at 28 January 2012,"401,556.30 km"
28.89% Visible,Moon phase details at 29 January 2012,"403,825.13 km"
37.82% Visible,Moon phase details at 30 January 2012,"405,153.08 km"
47.13% Visible,Moon phase details at 31 January 2012,"405,491.23 km"
56.54% Visible,Moon phase details at 1 February 2012,"404,826.03 km"
65.8% Visible,Moon phase details at 2 February 2012,"403,178.60 km"
74.61% Visible,Moon phase details at 3 February 2012,"400,606.99 km"
82.68% Visible,Moon phase details at 4 February 2012,"397,210.12 km"
89.64% Visible,Moon phase details at 5 February 2012,"393,131.55 km"
95.1% Visible,Moon phase details at 6 February 2012,"388,560.05 km"
98.67% Visible,Moon phase details at 7 February 2012,"383,724.98 km"
100% Visible,Moon phase details at 8 February 2012,"378,885.27 km"
98.82% Visible,Moon phase details at 9 February 2012,"374,312.74 km"
95.07% Visible,Moon phase details at 10 February 2012,"370,272.11 km"
88.87% Visible,Moon phase details at 11 February 2012,"367,000.61 km"
