,illumination,date,dist_to_moon,feels_like_19-1,pressure_19-1,rain_1h_19-1,weather_id_19-1,feels_like_07,pressure_07,rain_1h_07,weather_id_07,open_d-1,high_d-1,low_d-1,close_d-1,result
144,24.4,1984-07-24,391474.09 ,17.01,1021.0,0.0,721.0,11.49,1021,0.0,803,"1,008.30","1,008.30",985.80,986.90,989.60
145,15.99,1984-07-25,386726.38 ,14.97,1020.0,0.0,802.0,10.79,1020,0.0,803,986.90,991.10,983.40,989.60,996.20
146,8.86,1984-07-26,381795.64 ,15.63,1021.0,0.0,803.0,12.18,1026,0.0,804,989.60,996.20,983.80,996.20,999.10
147,3.54,1984-07-27,376960.03 ,18.22,1027.0,0.0,721.0,13.13,1029,0.0,741,999.10,"1,007.00",999.10,999.10,995.60
148,2.78,1984-07-30,365802.15 ,20.16,1012.0,0.0,801.0,16.6,1009,0.0,802,999.10,999.90,988.10,995.60,996.50
149,8.12,1984-07-31,363963.09 ,24.74,1004.0,0.0,802.0,14.59,1006,0.0,802,995.60,997.30,993.00,996.50,"1,010.10"
150,15.85,1984-08-01,363298.89 ,15.82,1014.0,0.0,801.0,13.6,1022,0.0,801,996.50,"1,010.10",995.20,"1,010.10","1,018.10"
151,25.4,1984-08-02,363838.91 ,14.96,1021.0,0.0,802.0,12.91,1014,1.5,310,"1,010.10","1,018.10","1,006.20","1,018.10","1,039.10"
152,36.12,1984-08-03,365535.42 ,16.03,1011.0,0.0,802.0,13.06,1012,0.0,802,"1,029.40","1,039.20","1,029.40","1,039.10","1,065.00"
153,68.88,1984-08-06,376097.27 ,12.94,1022.0,0.0,802.0,11.31,1024,0.0,802,"1,054.10","1,065.00","1,054.10","1,065.00","1,061.40"
154,78.26,1984-08-07,380719.84 ,17.32,1021.0,0.0,803.0,12.28,1017,0.22,520,"1,065.00","1,071.10","1,057.20","1,061.40","1,068.70"
155,86.23,1984-08-08,385476.07 ,11.23,1019.0,0.9,521.0,10.17,1022,0.0,801,"1,061.40","1,070.20","1,054.00","1,068.70","1,080.70"
156,92.51,1984-08-09,390119.16 ,15.95,1023.0,0.0,803.0,10.14,1026,0.0,721,"1,073.70","1,083.00","1,073.70","1,080.70","1,070.40"
157,96.93,1984-08-10,394425.57 ,18.06,1026.0,0.0,801.0,12.78,1027,0.0,721,"1,077.20","1,077.20","1,067.80","1,070.40","1,095.70"
158,98.59,1984-08-13,403601.08 ,17.66,1020.0,0.0,802.0,14.22,1019,0.5,500,"1,080.70","1,095.90","1,080.70","1,095.70","1,084.10"
159,95.44,1984-08-14,405019.40 ,20.05,1017.0,0.0,721.0,16.33,1017,0.0,721,"1,089.50","1,089.50","1,084.00","1,084.10","1,091.80"
160,90.67,1984-08-15,405504.58 ,19.25,1017.0,0.0,802.0,17.31,1018,0.0,721,"1,084.30","1,092.30","1,084.30","1,091.80","1,082.90"
161,84.45,1984-08-16,405032.32 ,18.19,1018.0,0.0,721.0,14.83,1019,0.0,741,"1,091.80","1,092.70","1,082.10","1,082.90","1,075.60"
162,76.99,1984-08-17,403606.29 ,19.33,1019.0,0.0,721.0,15.29,1022,0.0,701,"1,075.60","1,075.60","1,069.10","1,075.60","1,078.00"
163,49.43,1984-08-20,394149.04 ,22.43,1022.0,0.0,800.0,14.49,1021,0.0,721,"1,075.60","1,078.00","1,074.90","1,078.00","1,074.40"
164,39.38,1984-08-21,389663.61 ,20.19,1018.0,0.0,721.0,17.87,1017,0.0,721,"1,076.00","1,076.00","1,071.30","1,074.40","1,082.40"
165,29.47,1984-08-22,384829.03 ,21.17,1012.0,0.0,721.0,18.97,1011,0.0,721,"1,077.20","1,083.80","1,077.20","1,082.40","1,090.20"
