illumination,Date,Text1
54.68% Visible,Moon phase details at 3 September 1984,"378,426.66 km"
65% Visible,Moon phase details at 4 September 1984,"383,200.22 km"
74.42% Visible,Moon phase details at 5 September 1984,"387,965.15 km"
82.66% Visible,Moon phase details at 6 September 1984,"392,478.86 km"
89.47% Visible,Moon phase details at 7 September 1984,"396,533.02 km"
94.67% Visible,Moon phase details at 8 September 1984,"399,959.69 km"
98.15% Visible,Moon phase details at 9 September 1984,"402,631.97 km"
99.84% Visible,Moon phase details at 10 September 1984,"404,460.55 km"
99.7% Visible,Moon phase details at 11 September 1984,"405,388.51 km"
97.77% Visible,Moon phase details at 12 September 1984,"405,386.55 km"
94.13% Visible,Moon phase details at 13 September 1984,"404,450.45 km"
88.88% Visible,Moon phase details at 14 September 1984,"402,601.81 km"
82.17% Visible,Moon phase details at 15 September 1984,"399,891.99 km"
74.18% Visible,Moon phase details at 16 September 1984,"396,408.25 km"
65.13% Visible,Moon phase details at 17 September 1984,"392,280.12 km"
55.26% Visible,Moon phase details at 18 September 1984,"387,683.38 km"
44.9% Visible,Moon phase details at 19 September 1984,"382,839.00 km"
34.41% Visible,Moon phase details at 20 September 1984,"378,005.16 km"
24.31% Visible,Moon phase details at 21 September 1984,"373,462.06 km"
15.17% Visible,Moon phase details at 22 September 1984,"369,490.81 km"
7.67% Visible,Moon phase details at 23 September 1984,"366,349.24 km"
2.48% Visible,Moon phase details at 24 September 1984,"364,248.30 km"
0.11% Visible,Moon phase details at 25 September 1984,"363,332.11 km"
0.83% Visible,Moon phase details at 26 September 1984,"363,664.29 km"
4.56% Visible,Moon phase details at 27 September 1984,"365,221.88 km"
10.89% Visible,Moon phase details at 28 September 1984,"367,897.53 km"
19.21% Visible,Moon phase details at 29 September 1984,"371,509.64 km"
28.86% Visible,Moon phase details at 30 September 1984,"375,819.55 km"
39.18% Visible,Moon phase details at 1 October 1984,"380,553.85 km"
49.64% Visible,Moon phase details at 2 October 1984,"385,428.76 km"
59.79% Visible,Moon phase details at 3 October 1984,"390,173.11 km"
69.3% Visible,Moon phase details at 4 October 1984,"394,546.77 km"
77.89% Visible,Moon phase details at 5 October 1984,"398,352.02 km"
85.31% Visible,Moon phase details at 6 October 1984,"401,437.80 km"
91.38% Visible,Moon phase details at 7 October 1984,"403,697.78 km"
95.94% Visible,Moon phase details at 8 October 1984,"405,064.78 km"
98.83% Visible,Moon phase details at 9 October 1984,"405,504.17 km"
99.98% Visible,Moon phase details at 10 October 1984,"405,008.70 km"
99.33% Visible,Moon phase details at 11 October 1984,"403,596.16 km"
96.85% Visible,Moon phase details at 12 October 1984,"401,310.42 km"
92.61% Visible,Moon phase details at 13 October 1984,"398,225.24 km"
86.69% Visible,Moon phase details at 14 October 1984,"394,449.47 km"
79.24% Visible,Moon phase details at 15 October 1984,"390,131.52 km"
70.45% Visible,Moon phase details at 16 October 1984,"385,460.84 km"
60.59% Visible,Moon phase details at 17 October 1984,"380,664.44 km"
50% Visible,Moon phase details at 18 October 1984,"375,997.46 km"
39.1% Visible,Moon phase details at 19 October 1984,"371,727.94 km"
28.41% Visible,Moon phase details at 20 October 1984,"368,117.22 km"
18.55% Visible,Moon phase details at 21 October 1984,"365,398.55 km"
10.21% Visible,Moon phase details at 22 October 1984,"363,756.39 km"
4.05% Visible,Moon phase details at 23 October 1984,"363,309.07 km"
